lull trust,c,a
ostrich bird,a,a
word language,c,d
coop poultry,a,b
legend map,d,e
billboard advertisement,d,d
custom society,d,d
tunnel mine,e,b
diversion boredom,a,c
thicket shrubs,a,a
condescending respect,d,c
livid anger,c,b
fathom depth,c,b
remuneration labor,d,d
tutor pupil,b,d
decorate plain,c,d
pallid color,b,d
drift move,c,e
crass refinement,e,e
pariah ostracism,a,b
audience theater,d,a
quart volume,b,d
cartographer maps,a,a
abrasive skin,d,c
canal waterway,e,b
throng people,c,b
foolhardy recklessness,b,c
neighbor proximity,c,e
heckler disconcert,e,b
veer course,e,a
reveler merrymaking,d,c
malinger work,c,d
shove nudge,e,a
barley grain,b,c
locomotive train,b,e
abridge novel,e,d
chief hierarchy,e,a
wing air,c,c
condense short,d,e
orator speech,d,e
jubilation joy,b,a
dingy building,a,a
rangers forest,d,d
stimulant activity,c,a
paramount importance,e,a
raucous sound,d,d
tourniquet bleeding,d,c
cloying sweetness,e,d
perfidious treachery,b,c
corroborate claim,a,e
lubricant slide,b,a
stomp walk,b,a
index topics,c,e
prudent indiscretion,a,b
viscous flow,d,e
map navigate,d,c
skull head,c,c
accomplice crime,e,b
barricade access,c,c
ensemble dancer,b,a
consider contemplate,d,e
congeal solid,d,b
shear wool,a,b
epilogue book,e,c
glutton moderation,c,a
affectation behavior,c,e
exhortation urge,c,a
cooperation collusion,d,b
gaze observer,a,a
odometer distance,e,b
copyright book,c,c
feign deceive,a,c
ethos values,b,b
torpid sluggish,c,b
ruler line,d,d
catnap sleep,c,c
manager store,c,a
wallet money,b,b
lubricate smoothly,d,d
bird avian,d,d
irrational logic,b,d
constellation stars,e,c
calculator compute,b,d
extravagant spend,a,c
architect blueprint,e,e
weave fabric,e,b
testimony witness,c,c
criterion judgment,e,d
abbreviation word,e,d
avaricious greed,b,b
animosity hatred,b,d
mason stone,b,b
precarious stability,e,b
binomial name,d,b
amplifier ear,b,b
opaque transparent,a,e
rife singular,d,e
